message,messageSentiment.score,messageHate.score,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
"अभी जो राज्य सरकारें 3 मई के बाद भी केंद्र सरकार से लॉक डाउन बढ़ाने की सिफ़ारिश कर रही हैं वो कोरोना काल में मोटा माल हज़म कर रही हैं। केजरी गैंग जिस तरह हर रोज़ एक करोड़ लोगों को खाना खिलाने का दावा कर रही है, अगर ये सिलसिला दो तीन महीने चल गया तो ये नक्सली गैंग शायद पूरे देश में चुनाव लड़ने लायक़ पैसे का जुगाड़ कर लेगी। दूसरी तरफ़ कांग्रेस की सब उम्मीदें अशोक गहलोत पर टिकी हैं, देखते हैं वो कितना फंड जुगाड़ कर पाते हैं। - कृष्ण चौधरी",0,0,31870,Non-hateful,2,475,2022-11-07T14:28:30.703004Z,2022-11-07T14:28:30.703029Z,34.45
"सचिन तेंदुलकर की बेटी सारा की इन 10 खूबसूरत तस्वीरों ने सोशल मीडिया पर मचाया धमाल, जिसने देखा नजर नही हटी",2,0,31869,Non-hateful,2,474,2022-11-07T14:27:54.399074Z,2022-11-07T14:27:54.399104Z,12.65
कांग्रेस को लगा एक और झटका - पुष्पेंद्र कुलश्रेष्ठ ||,0,0,31868,needs more context,2,473,2022-11-07T14:27:39.972301Z,2022-11-07T14:27:39.972327Z,5.919
"न्यूजीलैंड की मस्ज़िद में गोलीबारी कर के आतंक मचाकर सैकड़ो नमाज़ियों को जन्नत भेजने वाले क्रिश्चन बेंटन टेरेंट ने कहा है कि मेरी मुसलमानों से कोई दुश्मनी नही है, मुसलमानों के लिए नफ़रत का कारण उनका बाहरी देशों से आकर अवैध कब्जा, धर्मांतरण और हिंसा करना है। एक 12 साल की मूक बधिर लड़की एब्बा एकरलैंड की मुस्लिम आतंकवादी द्वारा की गई हत्या का बदला लिया है मैने। आज न्यूजीलैंड की मस्ज़िद में हुए गैर इस्लामी द्वारा आतंकी हमले से पूरा इस्लामिक जगत बिलबिला उठा है। यहाँ मुसलमानों को सोचना चाहिए पिछले 1450 सालों में तुमने गैर मुस्लिमों का जो रक्त बहाया है, अगर हर गैर मुस्लिम क्रिश्चन बेंटेन टेरेंट की तरह उसका बदला लेने की ठान ले तब तुम कहाँ भागोगे! क्रिश्चन बेंटेन टेरेंट और ऐसे कई औरो की आतंकी मानसिकता के जिम्मेवार पूरी तरह तुम मुसलमान ही हो। आतंक का बिज़ तुमने ही बोया है जो आज लौटकर तुम्हारी और ही आ रहा है।",0,1,31866,Hateful,2,472,2022-11-07T14:27:31.119371Z,2022-11-07T14:27:31.119397Z,59.714
"महाकाल मंदिर में खुदाई से निकले करीब 2100 साल पुरानी ईंट, जलाधारी शिवलिंग व विष्णु की मूर्ती ",1,0,31865,Non-hateful,2,471,2022-11-07T14:26:29.793104Z,2022-11-07T14:26:29.793129Z,13.888
शर्म करो कांग्रेस चुल्लू भर पानी मे डूब मरो।,0,1,31864,needs more context,2,470,2022-11-07T14:26:12.499037Z,2022-11-07T14:26:12.499063Z,8.42
सुब्रमण्यम स्वामी से पूछा क्या है हिंदुत्व की स्क्रिप्ट? तो कुछ ऐसा आया जवाब,1,0,31863,negative discourse,2,469,2022-11-07T14:26:02.351702Z,2022-11-07T14:26:02.351731Z,13.067
Paper Kisko Dekhna hai ajao... #AndhBhakton,1,0,31862,Abusive,2,468,2022-11-07T14:25:37.145359Z,2022-11-07T14:25:46.170225Z,15.985
"अगर देश के मुसलमानों ने अपना आदर्श डॉक्टर कलाम जैसे मुसलमान को माना होता तो देश मे कोई समस्या नही होती , लेकिन दुर्भाग्य है की मुसलमानों ने अपना आदर्श आज़म खान , ओवैसी , वारिस पठान जैसे मुसलमानों को माना है !!",0,1,31861,negative discourse,2,467,2022-11-07T14:25:22.105507Z,2022-11-07T14:25:22.105533Z,18.923
"मिस यूनिवर्स हरनाज सिंधु कैमरे के सामने भूल बैठी लाज शर्मा, पेंट उतार दिखाएं शरीर का ये प्राइवेट पार्ट, मचा बाबल…",0,0,31860,needs more context,2,466,2022-11-07T14:25:01.475013Z,2022-11-07T14:25:01.475040Z,49.232
"शक्ति कपूर का बेटा हुआ ड्र-ग्स मामले में गिरफ्तार,लोग फिर उठाने लगे सुशांत सिंह राजपूत के लिए न्याय की मांग।",0,0,31859,needs more context,2,465,2022-11-07T14:24:10.603941Z,2022-11-07T14:24:10.603969Z,12.852
राम मंदिर निर्माण के यज्ञ में संजय जैसे न जाने कितने और राक्षस आएंगे और स्वाहा हों जाएगे बस हवन की ज्वाला कमजोर न पड़ने देना..!! 🙏,0,1,31858,Hateful,2,464,2022-11-07T14:23:55.746611Z,2022-11-07T14:23:55.746637Z,11.602
"झारखंड में 181 आदिवासियों ने की घर वापसी, कहा- लोभ...",1,0,31867,negative discourse,2,463,2022-11-07T14:23:40.725290Z,2022-11-07T14:23:40.725315Z,7.978
"जावेद अख्तर का बेटा फरहान अख्तर इस हिंदू लड़की से करेगा दूसरी शादी,जावेद अख्तर ने…",1,0,31874,needs more context,2,462,2022-11-07T14:23:30.795080Z,2022-11-07T14:23:30.795105Z,12.022
"पूरे परिवार का एक एक कलंक सामने आएगा, इतिहास याद रखेगा उस अय्याश प्रधानमंत्री को, कभी नहीं माफ़ करेगा देश तुम्हें नेहरू! #Pushpendra_kulshrestha",0,0,31857,negative discourse,2,461,2022-11-07T14:22:52.501115Z,2022-11-07T14:22:52.501141Z,2823.844
https://youtu.be/ZvR2n5txfCA:=:https://www.youtube.com/watch?v=ZvR2n5txfCA&feature=youtu.be,1,0,31856,needs more context,3,431,2022-10-27T11:28:23.582280Z,2022-11-07T13:35:46.933756Z,10.575
"we are a political party (Akhand bharat party) our motto is to put forward misdeeds being done by courrupteds ,infront of innocent public of INDIA fight against the exploitation of helpless farmers ,workers,poor and womens. कृपया पेज को लाइक ओर फॉलो करें ।",0,1,31855,Non-hateful,2,460,2022-11-07T13:35:39.098875Z,2022-11-07T13:35:39.098900Z,18.226
"अमेरिका पर बुरी तरीके से भड़का उठा पाकिस्तान, बोला ही पाकिस्तान को समझा है कचरा उठाने वाला , भारत आई",0,1,31854,needs more context,2,459,2022-11-07T13:35:18.804933Z,2022-11-07T13:35:18.804960Z,17.686
"केजरीवाल के इस मंत्री ने राम और कृष्ण के बारे में ऐसी भद्दी भाषा का इस्तेमाल किया हैं, हमारे भगवानों के बारे में ऐसी गंदी सोच क्यों? करोड़ो हिंदुओ की आस्था पर सवाल क्यों इनकी हिम्मत या औकात है किसी अन्य धर्म के ईश्वर पर सवाल करने की सुनो केजरीवाल- अगर इसको मंत्रिपद से तुरंत नहीं हटाया तो हम ये मानेंगे कि ये आदमी तुम्हारे इशारे पर बोल रहा हैं #AntiHinduAAP",0,1,31853,Non-hateful,2,458,2022-11-07T13:34:57.979226Z,2022-11-07T13:34:57.979253Z,23.763
"अक्सर हिंदुओं को कई लोग व्यंग कसते हैं , गौ को हिन्दू माता कहते हैं। पर हमारी 90% हिन्दू भाइयों को यह नही आता होगा गौ को माँ क्यूं बोला जाता है । इसे को ध्यान में रखते हुए आपके समक्ष 23 प्रमुख कारण का लेख लेकर आए हैं । क्यूँ गौ को माँ बोला जाता है ? पढ़िये और आज की युवा पीढ़ी को जरूर भेजें । https://saffrontigers.com/why-cow-called-mother/",1,0,31852,negative discourse,2,457,2022-11-07T13:34:32.224396Z,2022-11-07T13:34:32.224426Z,366.305
गाय को काटकर खाने वाले और गाय को घर की पहली रोटी खिलाकर पूजने वाले कभी भाई-भाई नही हो सकते।,0,1,31851,negative discourse,2,456,2022-11-07T07:38:01.141245Z,2022-11-07T07:38:01.141271Z,28.737
"तारक मेहता का उल्टा चश्मा की पुरानी सोनू ने नए ब्वॉयफ्रैंड की दी जानकारी, टप्पू के साथ रिलेशनशिप पर दिया आप बयान",1,0,31850,needs more context,2,455,2022-11-07T07:37:28.884912Z,2022-11-07T07:37:28.884940Z,17.836
Modi जी आपको शर्म नहीं आती पायल रोहतगी,0,0,31849,needs more context,2,454,2022-11-07T07:37:09.165526Z,2022-11-07T07:37:09.165550Z,13.327
खुदवा दो मस्जिदों की दीवारें वहां भी महादेव के सांप निकलेंगे☝️ और करवा लेना तुम अपना भी DNA टेस्ट हिन्दू ही तुम्हारे बाप निकलेंगे।,0,1,31848,negative discourse,2,453,2022-11-07T07:36:54.271084Z,2022-11-07T07:36:54.271114Z,18.203
महाराष्ट्र #नाँदेंड में #सदगुरु_शिवचर्या की गला रेत कर निर्मम हत्या.. एक महीने में महाराष्ट्र में ये साधुओं की हत्या का दूसरा मामला है.. ज्ञात हो कि “नांदेड़” भी ईसाई मिशनरियों का गढ़ है और मूक दर्शक बनकर बैठी उद्धव ठाकरे सरकार इस पर भी चुप रहेगी क्यूँकि उसे अपनी कुर्सी से ज़्यादा प्यार है.. #JusticeForHinduSadhus,0,0,31847,needs more context,2,452,2022-11-07T07:36:29.067553Z,2022-11-07T07:36:29.067580Z,25.872
इस्लामिक जिहादियों ने फिर पार कीं क्रूरता की हदें ... एक गांव पर हमला कर 100 से ज्यादा लोगों को मार डाला,0,1,31846,negative discourse,2,451,2022-11-07T07:36:01.708906Z,2022-11-07T07:36:01.708935Z,12.393
यहाँ देश मैं ना जाने कितने लोग भोजन के लिए परेशान हो रहे है लाक्डाउन के चलते इन्हें हराम मैं मटन खाना है।,0,1,31832,Hateful,2,438,2022-11-02T13:03:24.050253Z,2022-11-03T14:27:22.875228Z,1076.173
अब एक-एक जिहादियों की ली जाएगी खबर!,1,1,31831,negative discourse,3,432,2022-10-27T11:29:43.757564Z,2022-11-03T14:09:38.390636Z,67.467
#कड़ी_कार्यवाही अनंतनाग में 3 आतंकवादी रवाना 72 हूरों के पास.एनकाउंटर जारी. जय हिंद👍,1,0,31830,negative discourse,2,437,2022-11-02T13:03:08.314221Z,2022-11-03T14:08:39.356721Z,78.053
यूपी - 2016 की परेड यूपी - 2022 की परेड,1,0,31824,needs more context,2,398,2022-10-27T10:38:02.376168Z,2022-11-03T13:58:31.803421Z,23.844
"मंदिरओ पे जबरन आक्रमण तो कभी सनातनी साधुओ पे प्रहार आखिर कब तक सहेगा सनातनी ये क्रूर हिंसक फिसदि माजहब का वार समय आगया है हम या तो माकूल जवाब दे, वैसे ही भाषा में दें जो शत्रु समझे या शत्रुबीज का अंत ही करदे पैनल अतिथि : सुप्रीम कोर्ट अधिवक्ता: नवीन कोमल जी, हिन्दू अभिनेत्री प्राची अधिकारी,",0,1,31845,Hateful,2,450,2022-11-02T21:33:36.354683Z,2022-11-02T21:33:36.354711Z,18.277
यदि आप इस बात से सहमत हैं तो इसे शेयर करें और हमारे पेज को लाइक करें India Virals,1,0,31844,Non-hateful,2,449,2022-11-02T21:33:15.944586Z,2022-11-02T21:33:15.944613Z,11.368
"""""एक अच्छी माँ हर किसी के पास होती है लेकिन"""" """"एक अच्छी औलाद हर माँ के पास नहीं होती...!!"""" #आज़ाद #Aazaad #Rashtraputra #आज़ाद #AzadArmy #Azad #JNU #HinduHero #AzadiWithAazaad #Movie #VandeMataram #सनातन_भारत_गौरव_मंच #ChandrashekharAzad #Bollywood #BombayTalkies #BombayTalkiesPictures #DubeIndustries #TheRajnarayanDube #ThePillarOfIndianCinema #BombayTalkiesLabortaries",1,0,31843,Non-hateful,2,448,2022-11-02T21:33:02.952365Z,2022-11-02T21:33:02.952392Z,17.611
"एक मुस्लिम व्यक्ति ने रुबिका लियाकत को कही ऐसी बात,रुबिका लियाकत ने लताड़ा।",0,1,31842,negative discourse,2,447,2022-11-02T21:32:43.099612Z,2022-11-02T21:32:43.099638Z,10.495
तैमूर खान की अम्मी करीना खान फिर हुई ट्रोल लोगो ने कहा बेबो तुम …,0,1,31840,Hateful,2,446,2022-11-02T21:32:30.304903Z,2022-11-02T21:32:30.304932Z,8.522
दीपावली के बाद देश में मोमबत्तियां जन्मदिन के अलावा सिर्फ सिर्फ मुसलमानों के लिए भांड सेकुलरों द्वारा जलाई जाती हैं। #JusticeForGeeta,0,1,31839,Hateful,2,445,2022-11-02T21:32:20.411355Z,2022-11-02T21:32:20.411380Z,16.33
प्रधानमंत्री नरेंद्र मोदी ने शिवाजी पार्क पहुंचकर भारत रत्न लता मंगेशकर को श्रद्धांजलि अर्पित की।,2,0,31838,Non-hateful,2,444,2022-11-02T21:32:02.538999Z,2022-11-02T21:32:02.539025Z,14.398
अयोध्या के बाद अब ब्रज की बारी ...,1,0,31837,negative discourse,2,443,2022-11-02T21:31:45.473890Z,2022-11-02T21:31:45.473918Z,8.375
Not many people know .. Vasco De Gama ... and Christopher Columbus.. were ordered by Church to look for a Safe Route to INDIA.....Not as Tourist... BC India was the most prosperous Country at that time ...they came to loot and convert .. just like Muslims,0,1,31836,Hateful,2,442,2022-11-02T21:31:35.424410Z,2022-11-02T21:31:35.424451Z,16.85
मोदी विरोध में कब ये देश विरोधी हो गए पता ही नही चला प्रभु सद्बुद्धि दे इन मोदी विरोधियो को 🙏🙏🙏🙏,0,1,31835,negative discourse,2,441,2022-11-02T21:31:17.126070Z,2022-11-02T21:31:17.126096Z,5.581
ये हैं हमारे संस्कार . जो पुलिस पर पत्थर फेंकना नहीं सिखाते पैर छूना सिखाते हैं,0,1,31834,negative discourse,2,440,2022-11-02T21:31:10.064497Z,2022-11-02T21:31:10.064529Z,6.363
"उल्लू को सूर्य से परेशानी हैं, और उल्लू के पठ्ठो को सूर्य नमस्कार से..!! !! जय जय श्री राम !! 🙏🚩",2,1,31825,Hateful,2,399,2022-10-27T10:38:12.585164Z,2022-11-02T14:23:19.622208Z,15.578
जब तक अदालत दोषी करार ना दे तब तक वाड्रा को अपराधी नही कह सकते - कांग्रेस तो फिर चौकीदार चोर कैसे हुआ बे ख़ानदानी चम्मचों ?,0,1,31823,negative discourse,2,397,2022-10-27T10:37:50.793291Z,2022-11-02T14:22:59.221538Z,36.479
"कुरान की 26 आयतों को हटाने के लिए वसीम रिज़वी ने SC में दायर की याचिका, कहा की....",1,0,31822,negative discourse,2,396,2022-10-27T10:37:28.991533Z,2022-11-02T14:22:41.021911Z,16.352
सवाल पूछता है ब्रह्मर्षि किस 🕌मस्जिद में हवन 🔥 करने की इजाजत दी जाएगी हिंदू मुस्लिम एकता के लिए मैं तैयार हूं हवन करने को,1,1,31821,negative discourse,2,395,2022-10-27T10:37:18.315228Z,2022-11-02T14:22:31.497186Z,19.23
ये मुगलों का आभार भी जता चुकी है!,2,1,31820,negative discourse,2,394,2022-10-27T10:37:03.116324Z,2022-11-02T14:22:20.332987Z,23.695
"पहले नारा था मन्दिर वहीं बनाएंगे, लेकिन अब नारा है हिन्दू को जगाएंगे हिन्दू राष्ट्र बनाएंगे। एक बार बोल दें। #जय_श्री_राम🙏🚩🚩",2,1,31833,Hateful,2,439,2022-11-02T14:13:04.847785Z,2022-11-02T14:13:04.847822Z,4177.323
"विक्की-कैटरीना कैफ के Wedding Venue का हुआ खुलासा, राजस्थान के 700 साल पुराने इस बरवाड़ा में होगी शादी",1,0,31829,Non-hateful,2,436,2022-11-02T13:02:56.431785Z,2022-11-02T13:02:56.431816Z,13.637
"370 हटने के बाद कश्मीर में अब जो शांति है ,शान से तिरँगा लहरा रहा है उससे भारत मे बैठे गद्दार और पाकिस्तान दोनों दुखी हैं",0,1,31828,Hateful,2,435,2022-11-02T13:02:38.655329Z,2022-11-02T13:02:38.655375Z,12.561
"In Bareilly, Hindus write ""this house is for sale"" outside their house This is because they are worried after peacefuls regularly harass their daughter Where are the people who cry when peacefuls are 'allegedly' denied rental house?",0,1,32078,Hateful,3,434,2022-10-28T07:27:10.551789Z,2022-10-28T07:27:10.551815Z,8.485
😍,2,0,32490,Non-hateful,3,430,2022-10-27T11:25:16.407524Z,2022-10-27T11:25:16.407548Z,2.131
सुलेमानी कीड़ा जग गया होगा...,0,1,32532,Hateful,3,429,2022-10-27T11:24:51.936385Z,2022-10-27T11:24:51.936410Z,18.519
"কিছু, ত্রিনুনু জিহাদি মোল্লা রা বাঙালি বিহারী দের মধ্যে বিভেদ লাগানোর চেষ্টা করছে। তাদের গর্বে সাথে বলুন জয় শ্রী রাম",1,1,32533,Hateful,3,428,2022-10-27T11:24:31.420400Z,2022-10-27T11:24:31.420424Z,16.012
Om Shanti,2,0,32481,Non-hateful,3,427,2022-10-27T11:23:18.466809Z,2022-10-27T11:23:18.466835Z,1.962
Indian secularism.,0,1,32386,Non-hateful,3,426,2022-10-27T11:23:04.900733Z,2022-10-27T11:23:04.900761Z,1.964
थोड़ा ध्यान दें,1,0,32377,Non-hateful,3,425,2022-10-27T11:22:56.851396Z,2022-10-27T11:22:56.851433Z,13.691
