message,messageSentiment.score,messageHate.score
"ओलिंपिक में ब्रॉन्ज मेडल जीतने वाली भारतीय हॉकी टीम पर हो रही है कि इनामों की बौछारें, जानिए किस खिलाड़ी को कितने मिले...",1,0
# मोडलींग छोड़िये # अपनी हिन्दू संस्कृति के अनुरूप हो जाईये । ।,1,1
अलादीन का चिराग.. और महिलाओं का मेकअप.. दोनों को रगड़ने से जिन्न निकलते हैं ! #घन्नु_दादा 😁😜😂 #Aazaad #Rashtraputra #आज़ाद #AzadArmy #Azad #JNU #HinduHero #AzadiWithAazaad #Movie #VandeMataram #सनातन_भारत_गौरव_मंच #ChandrashekharAzad #Bollywood #BombayTalkies #BombayTalkiesPictures #DubeIndustries #TheRajnarayanDube #ThePillarOfIndianCinema #BombayTalkiesLabortaries,1,0
"रुबिका लियाकत की अम्मी का हुआ देहांत, मुस्लिम लोग करने लगे ऐसे भद्दे कमेंट।",0,1
"पाकिस्तान से आए हिंदू सरणार्थी साउथ दिल्ली के स्लम में रह रहे हैं,लेकिन मंदिर को जगह देना नही भूले..!!",0,1
"याद रखो जेहादियों, अगर तुमने कुछ भी हिन्दुस्तान के खिलाफ करने का सोचा भी तो तुम्हें समूल उखाड़ के फेंक देंगे ये 100 करोड़ हिन्दुस्तानी",0,1
"लड़के ने आकर स्टेज पर बैठी दुल्हन के साथ कर दी ऐसी हरकत, देखते रह गए लोग और दूल्हा",0,1
दीपा मलिक भारतीय पैरालम्पिक खिलाड़ियों की जीत की सूत्रधार हैं।,2,0
"स्वर भास्कर भी करती है नशा जाने क्यों, लोग कह रहे है नशेड़ी।",0,1
कांग्रेस वाले कितने नीच है मोदीजी की माँ को भी नही छोड़ा,0,1
हर हर महादेव 🙏 पेज को जरूर फॉलो करें🙏 दुनिया की सबसे खूंखार जिहादी संगठन SiSi अपनी पत्रिका की माध्यम से पूरे हिंदू समाज को जड़ से समाप्त करने की सीधी चेतावनी दे रहा है परंतु नाही हिंदूवादी संगठन और नाही हिंदूवादी सरकार और ना ही हिंदुओं के बड़े-बड़े धर्माचार्य नाही मीडिया तंत्र इस पर बोलने को तैयार है केवल 2 से 4 धर्मगुरु एवं हिंदूवादी लोगों को छोड़ दिया जाए तू लगभग सभी हिंदुओं को मूर्ख बनाने में लगे हैं और संपूर्ण हिंदू समाज अपनी स्वार्थ और अपनी कायरता के कारण मुख दर्शन बनकर देख रहा है यदि इतना अपमान जिहादियों के लोगों की गई होती तो अब तक पूरे हिंदुस्तान जल चुका होता और हजारों निर्दोष लोगों की हत्या की जा चुकी होती क्योंकि जिहादियों उनका मजहब सबसे पहले हैं और हम हिंदुओं का स्वार्थ सबसे पहले इसी कारण हिंदुओं की पलायन हिंदुओं का अपमान और हिंदुओं की हत्या पिछले 1400 सालों से जारी है जागो हिंदू जागो,1,0
ఉగ్రవాద రహిత భారత్...🇮🇳,0,1
बाप ने की भड़वागिरी बहन ने किया कोठे पर प्यार बेवड़े ने किया अम्मी को हलाल तब जाके पैदा हुआ नरेश अग्रवाल..,0,1
"सत्ता खोखले वादों से नहीं बल्कि पक्के इरादों से सम्भाली जाती है... योगी जी की लखनऊ की यह तस्वीर उसकी बानगी है, नेता खुद #रजाई में छुपकर #नींद की आगोश में चले गए होंगे तब योगी जी ठण्ड से बेहाल लोगों का रैन बसेरों में सरकार द्वारा दी जाने वाली सुविधाओं जायजा लेने निकले थे। जय योगी बाबा की जय योगिराज 🙏🙏",2,0
हे रोंदू! अगर तुम उन्हें संभालकर रखते तो हमें ये सब करना ही नहीं पड़ता!,0,1
फिल्म में होंगे मोदी के चाय बेचने से लेकर कैंटीन स्टाफ के रूप में काम करने समेत कई दृश्य,1,0
जब शेर आपस में लड़ते हैं तो उनकी खाल यूँ बाजार में बिकती हैं इस तरह के कपड़ो को बढ़ावा मत दो,0,1
"हिंदू ने ईरान छोड़ा हिंदू ने काबुल छोड़ा हिंदू ने गांधार छोड़ा 400 साल पहले हिंदू ने छोड़ा अफगानिस्तान, 200 साल पहले हिंदू ने छोड़ा हिंदूकुश, 100 साल पहले हिंदू ने छोड़ा था तक्षशिला, 70 साल पहले हिंदू ने छोड़ा पाकिस्तान, 40 साल पहले हिंदू ने छोड़ा बांग्लादेश, 30 साल पहले हिंदू ने छोड़ा कश्मीर, 25 साल पहले हिंदू ने छोड़ा असम, 20 साल पहले हिंदू ने केरल छोड़ा था। आज हिन्दू बंगाल जा रहा है। 10 साल बाद पश्चिम बंगाल छोड़ेंगे हिंदू हिंदू 15 साल बाद हैदराबाद छोड़ेगा। 20 साल बाद केरल छोड़ेंगे हिंदू 50 साल बाद यह हिंदू भारत छोड़ देगा। उसके बाद तुम हिन्दू कहलाओगे? याद रखें, जब तक हिंदू हैं, तब तक हिंदुस्तान है। भारत के कुछ हिस्सों हिन्दू ने किया कम : वही हिस्सा हिन्दुस्तान से कट गया। #इतिहास #bajrangdal",1,1
अयोध्या के श्री राम जी का भव्य मन्दिर का निर्माण कुछ इस तरह होगा। #jaisriram #rammandirayodhya #RamMandirNirman #NarendraModi #PMModi #SureshChavhanke #SudarshanNews,1,0
जय श्री राम,2,0
भारतभूमि में जन्में सभी पंथ एवं सम्प्रदायों के संतों द्वारा राष्ट्रीय एकता के लिए सामूहिक उद्घोष धर्मादेश का सीधा प्रसारण #TalkatoraStadium दिल्ली से। #DharmaadeshUHF #धर्मादेशयूएचएफ #धर्मादेश #Dharmaadesh #यूएचएफधर्मादेश #UHFDharmaadesh #UHF #UniteHinduFront #EkjutSanyukt #Delhi #Dharmadesh,1,0
"UP के 18 मुस्लिम परिवारों ने अपनाया हिंदू धर्म,बोले मुस्लिम धर्म में मौत के बाद भी जमीन नही होती नसीब......",2,1
जला तो दिया तुमने निर्दोष पुजारी बाबा को कल को कोई हिन्दू परशुराम बनकर तुम्हे जलाए तो ये मत कहना सविधान खतरे में है राजस्थान कांड,0,1
Attended the 5th meeting of NITI Aayog’s Governing Council. #NITIAayog has become a leading institution for policy making in the country while defining the national development agenda. It has helped to create a shared vision for development by promoting cooperative federalism amongst States.,2,0
दिल से धन्यवाद इन गौ रक्षको का।,2,1
🚩🚩हिंदू धर्म रक्षकों विगत चार सालों से हम हिन्दू धर्म के उदगम स्थल देवभूमि उत्तराखंड में इस्लामिक कट्टपंथीयों द्वारा जो लव जिहाद जो कि हमारी अस्मिता से खिलवाड़ लैंड जिहाद से देवभूमि में मस्जिद मदरसा मजार का निर्माण नहीं होने देने के लिए जनजागरण अभियान चला रहे हैं जनता जाग रही है परन्तु बहुत धीमी गति से ऐसे में तो नहीं रोका जा सकता क्या देवताओं की भूमि पर ऐसा होना चाहिए आज आपके उत्तर की प्रतीक्षा में इस भगवान बदरी विशाल जी का पोस्ट फोटो लोगों तक अवश्य भेजना 🙏🙏,1,1
"बॉलीवुड की फेमस एक्ट्रेस को नशे की है बुरी लत, सिगरेट और शराब के बिना एक मिनट नही जी सकती, देखें पूरी लिस्ट",0,0
"जिस लड़की के साथ विदेश भागा था विजय माल्या, आज उसी की कमार्इ पर कट रही जिंदगी, इतनी है उसकी सैलरी",0,1
टिकैत की गिरफ्तारी तय.. #FarmersProtest #RakeshTikait #ArrestRakeshTikait,0,1
"पहले टूल किट में छुपे थे, अब राष्ट्र जागरित होने से सारे षड्यंत्र किट से बाहर आ रहे हैं:-पुष्पेंद्र कुलश्रेष्ठ",0,0
"लड़कियां दोनों ही दलित समाज से है, लेकिन कांग्रेस के गिद्धों को पता है कि वोटबैंक के लिए ""दलित"" शब्द कहाँ इस्तेमाल करना है, ओर कहाँ नही ।",0,1
"राजनीति में आज PM मोदी को पूरे 20 साल हो गए इसकी जानकारी सुधीर चौधरी ने दी और बधाई भी,लोग देने लगे गाली।",2,0
"जिस कथित 5 करोड़ रुपये की रसीद को मुझे फंसाने के लिए रखा गया, वह पैसे मैंने कभी लिए ही नहीं! - तापसी पन्नू😂",0,0
Kangana Ranaut पर FIR Ayushi Rana से क्रोधित हिन्दू शेरनी ने बाबरसेना को विध्वंश कर दिया,0,1
बकरीद का त्यौहार आते ही बेजुबान जानवरो की तश्करी बढ़ी? #sudarshannews,0,1
"अखिलेश यादव के करीबी, सपा के डिजिटल कोआर्डिनेटर की महिलाओं के प्रति सोच और संस्कार देखिए। अखिलेश जी की खातिर - जो जितना भी गंदा है, वही सपाई उतना ही चंगा है।",0,0
"आपको हुमायूँ का मकबरा तो खूब बताया जाता है पर आपको पता है अकबर का भी मकबरा है...और वो है आगरा के सिकंदरा में.. अकबर का मकबरा 119 एकड़ जमीन में फैला है और आज वो कुछ इस प्रकार का दीखता है और साथ ही देखिये अकबर की कब्र जो नीचे चित्र में सफ़ेद सी कब्र दिख रही है आपको.... अकबर के मकबरे जो की आगरा के सिकंदरा में स्थित है, उसके अंदर ये सफ़ेद सी कब्र बनी हुई है, आज आप वहां देखने जायेंगे तो आपको यही दिखाई देगा....... असल में जो आप ऊपर सफ़ेद कब्र देख रहे है, उसके अंदर कुछ है ही नहीं। हुआ ये की अकबर जब मरा तो उसने अपने बेटे को पहले से कहा हुआ था की मुझे यहाँ दफनाना, अकबर और उसके बेटे जहांगीर में बहुत कटुता थी, फिर भी उसने अब्बू को वहीँ दफ़न कर दिया, जहाँ ये सफ़ेद क़ब्र है फिर जहांगीर ने इस कब्र के ऊपर मकबरा बना दिया। अकबर भी ख़तम हो गया, जहांगीर भी ख़तम हो गया और शाहजहां भी ख़तम हो गया, मुगलों का राजा बना औरंगजेब और साल था 1670 का.. भरतपुर के हिन्दू शूरवीर राजा राम जाट ने मुगलई सेना पर हमला कर दिया और उसने सिकंदरा में अकबर के मकबरे पर भी हमला किया, और मुगली सेना को हिंदुओं ने सिकंदरा में गाजर मूली की तरह काटा, और राजा राम जाट ने अकबर की कब्र को खुदवा दिया और उसकी जो हड्डियां अंदर थी उसे निकाला और हड्डियों को जला दिया .... दिल्ली में बैठा औरंगेजब अपने पूर्वज अकबर की हड्डियों को नहीं बचा सका, फिर एक दूसरे युद्ध में राजा राम जाट वीरगति को प्राप्त हो गए... फिर उसके कुछ सालों तक अकबर की कब्र ऐसे ही खाली पड़ी रही खुदी हुई, मकबरे में खुदी हुई कबर ही दिखाई देती थी। फिर बाद में इसके ऊपर सफ़ेद सा नकली कब्र बाद में मुगलों ने बनाया, जो आज भी इस मकबरे में मौजूद है, पर अकबर का शव मौजूद नहीं है। क्यूंकि 1670 में ही राजा राम जाट ने उसके शव को कब्र से निकालकर, मुगली सेना को गाजर मूली की तरह काटकर जला दिया था....... यूनियनिस्टों अपने पूर्वजों पर गर्व करो और उनका अनुसरण करो वर्ना इतिहास माफ नहीं करेगा.... #उसी_कौम_से_हूं_जिसने_दिल्ली_तक_झंडे_गाड्डे_थे_घर_में_घुसकर_काढ़े_थे_जब_बोल्ले_मुगल_आड्डे_थे....",1,0
‘पति के धर्म का सम्मान है लेकिन ये नही की मुस्लिम बन जाऊं’ – ये क्या बोली गौरी खान,1,1
"घोड़ों को मिलती नहीं घास देखो, गधे खा रहे हैं च्यवनप्राश देखो। यहां आम आदमी की कहां कब बनी है, ये ""केजरीवाल की भक्ति"" गधों के लिए ही बनी है। #AAP #RajyaSabha",0,1
Sridevi की बेटी खुशी कपूर हुई Oops Moment का शिकार,0,0
टोंटी तो चुराते ही थे अब दुसरो का काम भी चुराने लगे।,0,1
"सचिन तेंदुलकर की बेटी सारा तेंदुलकर ने ट्रेडिशनल मराठी लुक में बिंदी गहने पहन दिए बेहोश करने वाले पोज, देखें फोटो",1,0
"इतनी कृपा करो मेरे नाथ आने वाले समय में, विधानसभा और लोकसभा में हिंदू हितरक्षक ही पहुंच पाएं, क्योंकि अधिकांश देश की गति राजनीति ही तय करती है देश की संस्कृति को तबाह करने के लिए ,एक बहुत बड़ा षड्यंत्र चल रहा है..",0,0
80% पाकिस्तानी हिन्दू दलित है। ये भीम आर्मी CAA का विरोध इसलिए कर रही है क्योंकि वो आरक्षण साझा नही करना चाहते पाकिस्तानी दलित भाईओ के साथ।,0,1
#हद_है_दोगलेपन_की अरे ये कठुआ पे प्रोटेस्ट करने क्या सेना पे हमले पर भी प्रोटेस्ट करेंगे कि दोगलापन करेंगे ......….#शेयर_करे,0,1
जय हो विजय हो 🚩🚩 धर्म की जीत हो अधर्म का नाश हो 🚩🚩,2,1
PM Modi's LPG scheme now covers 90 percent of Indian homes. Think about the numbers involved. Think about what it means to the people who now have a gas connection #NewIndia https://swarajyamag.com/politics/modis-lpg-scheme-now-covering-90-per-cent-of-homes-ticks-all-the-right-boxes,1,0
No it's not Taliban.... It's Malda Bengal under Mamta Bano where 5000 plus gathered for Muharram procession despite Covid norms official notification.,0,1
जाओ अब जेल में तबाही लाना.....,0,1
पाकिस्तान TV पर 20 मिनट तक रो-रो कर कोरोना वायरस से बचाने के लिये अल्लाह से प्रार्थना करते हुए मौलवी तारीक़ जमील को हिन्दुस्तानी मुसलमान ज़रूर सुने।,0,1
तिरंगे के लिए धड़कता है कश्मीरी युवाओं का दिल,2,1
परसों फोड़े गए पटाखे ही भविष्य के बम हैं इंतज़ार केवल हमारी हार का है!,0,1
इसे कहते है देशभक्त वोट फॉर मोदी,2,0
"इस साउथ के हीरो की फ़िल्म ने JNU का समर्थन करने वाली दीपिका पादुकोण के पति रणवीर की फ़िल्म को करवा दिया फ्लॉफ,बॉलीवुड का हुआ बुरा हाल",0,0
"सपना का हाथ नहीं झेल पाया अमेरिकन फ्रेंड, वायरल हुआ वीडियो, लोगो की नहीं रुक रही हसी",0,0
आप देखे की जम्मू में 2 सिख समुदाय की लड़कियों को जबरन अगवा कर के उनका धर्म परिवर्तन करवा दिया दो बुड्ढों से शादी भी करवा दिए। समय रहते इन आतंकवादियों को गोली मारे सेना।,0,1
जानिए क्यों नही करना चाहिए किसी का जूठा भोजन।,0,0
"सुपर डांसर टीवी शो में से शिल्पा शेट्टी को लात मारकर बाहर किया,रवीना टंडन को लिया",0,0
"जिन्होंने कश्मीर पलायन नहीं देखा वो अफ़ग़ानिस्तान से लोगों को भागते हुए देख लें याद दिला दूँना वहाँ RSS है, ना मोदी ना, बजरंग दल",0,1
"मुस्लिम पर्सनल लॉ बोर्ड को खत्म करो 🚫 फ्रेंड तो बहुत हैं,देखते हैं कितने लोगों के मुंह से आवाज निकलती है ✊ #जय_श्री_राम 🙏🚩",0,1
कांग्रेस वाले पागल हो चुके है।,0,1
PIB का यह कदम सराहनीय है!,2,0
अब आये मीम भाई भीम के सामने। म्यांमार और बुद्धिस्ट को गालियां दी रहे है मुसलमान।,0,1
"टिकैत.. किसान होंगे तब तो पहुंचेंगे। ये आपिये वामिये को ही पहुंचना था सो पहुंच गए। यहां ट्वीटर,फेसबुक या और भी सोशल प्लेटफार्म पर जो किसान के नाम पर खालिस्तानियों के वकील बने फिरते हैं वो भी चले जाते तो थोड़ी इज्जत बच जाती।😂😂",0,1
